3,1000,[575],[191],[574]
3,1000,[3857],[1276],[3856]
3,1000,[287],[98],[286]
3,1000,[14142],[4674],[14141]
3,1000,[282],[94],[281]
3,1000,[2014],[663],[2013]
3,1000,[1254],[415],[1253]
3,1000,[595],[197],[594]
3,1000,[85],[30],[84]
3,1000,[357],[121],[356]
3,1000,[1821],[605],[1820]
3,1000,[3897],[1290],[3896]
3,1000,[2124],[704],[2123]
3,1000,[1189],[393],[1188]
3,1000,[1878],[623],[1877]
3,1000,[5778],[1908],[5777]
3,1000,[2168],[723],[2167]
3,1000,[10040],[3317],[10039]
3,1000,[6003],[1987],[6002]
3,1000,[5182],[1715],[5181]
3,100,[47],[17],[46]
2,100,[4],[3],[4]
3,100,[298],[99],[297]
3,100,[199],[65],[198]
3,100,[123],[42],[122]
3,100,[32],[12],[31]
3,100,[138],[46],[137]
3,100,[185],[62],[184]
3,100,[89],[31],[88]
3,100,[160],[55],[159]
3,100,[105],[37],[104]
3,100,[215],[73],[214]
3,100,[169],[58],[168]
1,100,[1],[2],[2]
3,100,[79],[28],[78]
3,100,[413],[139],[412]
3,100,[45],[17],[44]
3,100,[270],[89],[269]
3,100,[218],[74],[217]
3,100,[247],[84],[246]
