3,1000,[4760],[1576],[4759]
3,1000,[3278],[1091],[3277]
3,1000,[581],[193],[580]
3,1000,[1359],[451],[1358]
4,1000,[7392],[2449],[7390]
1,1000,[1],[2],[2]
3,1000,[874],[292],[873]
3,1000,[1764],[581],[1763]
3,1000,[2066],[687],[2065]
3,1000,[6112],[2018],[6111]
3,1000,[3614],[1196],[3613]
3,1000,[113],[39],[112]
3,1000,[8465],[2806],[8464]
3,1000,[246],[82],[245]
3,1000,[1206],[403],[1205]
3,1000,[1971],[653],[1970]
3,1000,[1992],[659],[1991]
3,1000,[1063],[355],[1062]
3,1000,[21307],[7054],[21306]
3,1000,[1291],[431],[1290]
