11,1000,[10875],[1074],[10866]
10,1000,[13056],[1291],[13048]
10,1000,[3137],[313],[3129]
10,1000,[752],[78],[744]
10,1000,[5262],[523],[5254]
10,1000,[10641],[1057],[10633]
1,1000,[1],[2],[2]
10,1000,[842],[88],[834]
10,1000,[5086],[506],[5078]
10,1000,[684],[72],[676]
10,1000,[19431],[1918],[19423]
10,1000,[33246],[3291],[33238]
10,1000,[6272],[620],[6264]
10,1000,[24398],[2411],[24390]
10,1000,[10001],[988],[9993]
10,1000,[7671],[762],[7663]
10,1000,[278],[31],[270]
10,1000,[9147],[906],[9139]
10,1000,[1668],[168],[1660]
11,1000,[2814],[281],[2805]
10,100,[289],[32],[281]
10,100,[142],[18],[134]
10,100,[458],[50],[450]
10,100,[133],[16],[125]
10,100,[545],[56],[537]
10,100,[50],[8],[42]
10,100,[690],[72],[682]
10,100,[548],[58],[540]
10,100,[107],[14],[99]
10,100,[122],[17],[114]
10,100,[154],[18],[146]
10,100,[111],[15],[103]
10,100,[506],[53],[498]
10,100,[99],[14],[91]
10,100,[63],[9],[55]
10,100,[121],[16],[113]
10,100,[410],[44],[402]
11,100,[59],[9],[50]
10,100,[164],[20],[156]
10,100,[379],[41],[371]
